Product,Name,CPUID,Status,ProductionMCU,
Kaby Lake Xeon E3 ,Intel(R) Xeon(R) CPU E3-1200 v6 Product Family,906E9,Production,0x0000008e,
Skylake Xeon E3,Intel(R) Xeon(R) CPU E3-1200 v5 Product Family,506E3,Production,0x000000c6,
Broadwell DE A1,Intel(R) Xeon(R) CPU D-1500 NS Product Family,50665,Production,0x0e00000a,
Broadwell DE Y0,Intel(R) Xeon(R) CPU D-1500 Product Family,50664,Production,0x0f000012,
"Broadwell DE V2,V3",Intel(R) Xeon(R) CPU D-1500 Product Family,50663,Production,0x07000013,
Broadwell DE V1,Intel(R) Xeon(R) CPU  D-1500 Product Family,50662,Production,0x00000017,
Skylake,Intel(R) Xeon(R) CPU Scalable Processor Family,50654,Production,0x0200004d,
"Broadwell E, EP, EP4S",Intel(R) Xeon(R) CPU E5 v4 Product Family,406F1,Production,0x0b00002e,
Broadwell EX,Intel(R) Xeon(R) CPU E7 v4 Product Family,406F1,Production,0x0b00002e,
Broadwell Xeon E3,Intel(R) Xeon(R) CPU E3 v4 Product Family,40671,Production,0x0000001e,
Haswell EX,Intel(R) Xeon(R) CPU E7 v3 Product Family,306F4,Production,0x00000012,
"Haswell E, EP, EP4S",Intel(R) Xeon(R) CPU E5 v3 Product Family,306F2,Production,0x0000003d,
Ivy Bridge EX,Intel(R) Xeon(R) CPU E7 v2 Product Family,306E7,Production,0x00000714,
"Ivy Bridge E, EN, EP, EP4S",Intel(R) Xeon(R) CPU E5 v2 Product Family,306E4,Production,0x0000042d,
Haswell Xeon E3,Intel(R) Xeon(R) CPU E3-1200 v3 Product Family,306C3,Production,0x00000025,
Ivy Bridge Xeon E3,Intel(R) Xeon(R) CPU E3-1200 v2 Product Family,306A9,Production,0x00000020,
"Westmere EX (EGL, WSM)",Intel(R) Xeon(R) CPU E7-28/48/88 Product Family,206F2,Production,0x0000003b,
Nehalem EX,Intel(R) Xeon(R) CPU E65/E75/L75/X65/X75 Product Family,206E6,Production,0x0000000d,
Sandy Bridge EN/EP/EP4S,Intel(R) Xeon(R) CPU E5 Product Family,206D7,Production,0x00000714,
Sandy Bridge EN/EP/EP4S,Intel(R) Xeon(R) CPU E5 Product Family,206D6,Production,0x0000061d,
"Westmere EP, WS",Intel(R) Xeon(R) CPU E56/L56/W36/X56 Product Family,206C2,Production,0x0000001f,
Sandy Bridge Xeon E3,Intel(R) Xeon(R) CPU E3-1200 Product Family,206A7,Production,0x0000002e,
"Nehalem EP, Nehalem WS",Intel(R) Xeon(R) CPU E55/L55/W55/X55 Product Family,106A5,Production,0x0000001d,
